CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
36187,RST,515,Marketing in RST,XM,ONL,120135,"Staples, Stephen R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36188,RST,593,Special Problems,XM,ONL,120135,"Santos, Carla A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36914,RUSS,101,First-Year Russian I,A,ONL,120135,"Mitrevski, George G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37371,RUSS,102,First-Year Russian II,A,ONL,120135,"Mitrevski, George G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35696,SHS,121,American Sign Language I,A,LCD,120135,"Haring, Donald L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37407,SHS,321,American Sign Language III,A,LCD,120135,"Haring, Donald L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35658,SHS,477,Beginning Practicum in SHS,D,CNF,120135,"Cetin, Patricia D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35114,SHS,514,Motor Speech Disorders,A,LCD,120135,"Mendes, Clarion C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32916,SHS,551,Electrophys Indic Aud Balance,A,LCD,120135,"Chambers, Ronny D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30444,SHS,557,Adv Clin Prac Aud Assess Rehab,A,LCD,120135,"Chambers, Lou",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
