CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
48520,ARTS,595,Graduate Laboratory,DW,LAB,120081,"Weaver, David D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48519,ARTS,595,Graduate Laboratory,LB,LAB,120081,"Batten, Luke",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48521,ARTS,595,Graduate Laboratory,LH,LAB,120081,"Hogin, Lauretta J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40436,ARTS,595,Graduate Laboratory,M,LAB,120081,"Theide, Billie J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44470,ARTS,595,Graduate Laboratory,MP,LAB,120081,"Pokorny, Melissa",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49589,ASST,445,Tutorials in E Asian Languages,JH,CNF,120081,"Ha, Jeeyoung A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30779,ASTR,100,Perspectives in Astronomy,1,LEC,120081,"Dunne, Bryan C",11,34,26,41,27,16,10,6,2,1,0,1,0,0,3.29
39258,ASTR,100,Perspectives in Astronomy,2,LEC,120081,"Dunne, Bryan C",13,45,32,42,40,17,9,3,2,3,0,1,0,1,3.33
30813,ASTR,100,Perspectives in Astronomy,3,LEC,120081,"Webbink, Ronald F",1,9,13,22,21,18,6,6,1,1,0,0,0,2,3.07
30832,ASTR,121,The Solar System,AL1,LEC,120081,"Wong, Tony",10,17,13,9,18,13,8,2,4,1,4,2,3,0,2.98
30845,ASTR,122,Stars and Galaxies,AL1,LEC,120081,"Looney, Leslie W",3,54,5,22,19,6,8,7,2,2,6,1,4,1,3.15
30855,ASTR,210,General Astronomy,1,LEC,120081,"Mouschovias, Telemachos C",0,5,1,0,8,0,0,6,0,0,5,0,0,0,2.59
48580,ASTR,330,Extraterrestrial Life,CH,LEC,120081,"Looney, Leslie W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39315,ASTR,350,Introduction to Cosmology,1,LEC,120081,"Ricker, Paul M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30858,ASTR,401,Scientific Writing for Astro,1,CNF,120081,"Sutton, Edmund C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43741,ASTR,414,Astronomical Techniques,AT,LEC,120081,"Sutton, Edmund C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48257,ASTR,496,Seminar in Astronomy,PC,LEC,120081,"Fields, Brian D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48224,ASTR,596,Seminar in Special Topics,AFD,LEC,120081,"Gammie, Charles F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
