CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32858,ACCY,515,Auditing & Assurance Standards,A,LCD,120085,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120085,"Shaw, Jeffrey M",4,10,3,4,8,0,0,0,0,0,0,0,0,0,3.6
33980,ACCY,560,Information in Value Creation,A,LCD,120085,"Brown, Clifton E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34580,ACCY,560,Information in Value Creation,B,LCD,120085,"Chandler, John S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34342,ACCY,560,Information in Value Creation,CHI,LCD,120085,"Chandler, John S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30093,ACCY,590,Adv Prof Internship in ACCY,A,CNF,120085,"Curtis, Susan M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30119,ACE,161,Microcomputer Applications,A,LBD,120085,"Lo, Alexander C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30122,ACE,161,Microcomputer Applications,C,LBD,120085,"Lo, Alexander C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30132,ADV,300,Introduction to Advertising,A,LCD,120085,"Olson, Katrina M",28,15,11,3,0,0,0,1,0,0,0,0,0,0,3.87
34408,ADV,400,Special Problems,ROM,CNF,120085,"Hall, Steven R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31247,AFRO,100,Intro to African American St,A,LEC,120085,"Muhammad, Ray",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34395,AFRO,231,Lang Diff Dis: American Persp,AP,LCD,120085,"Proctor, F A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32338,AGED,500,Global Biofuel Literacy,SI2,ONL,120085,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32339,AGED,500,Food System & Environ Literacy,SI3,ONL,120085,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32340,AGED,500,Food System & Environ Literacy,SI4,ONL,120085,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30180,ANSC,110,Life With Animals and Biotech,1,LCD,120085,"Kesler, Darrel J",3,46,0,0,4,0,0,3,0,0,0,0,0,1,3.82
30200,ANSC,331,Biology of Reproduction,AB1,LAB,120085,"Kesler, Darrel J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31100,ANTH,102,Human Origins and Culture,AE1,LCD,120085,"Williams, Scott A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30211,ANTH,103,Anthro in a Changing World,1,LCD,120085,"Shoaff, Jennifer L",4,8,9,1,5,3,3,5,1,0,0,0,3,0,3
30221,ANTH,230,Sociocultural Anthropology,1,LCD,120085,"Lehman, Frederic K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33737,ARAB,201,Elementary Standard Arabic I,A1,LCD,120085,"Moshref, Ola A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33912,ARAB,201,Elementary Standard Arabic I,C1,LCD,120085,"Gasim, Jamal A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33738,ARAB,202,Elementary Standard Arabic II,A1,LCD,120085,"Moshref, Ola A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33913,ARAB,202,Elementary Standard Arabic II,C1,LCD,120085,"Gasim, Jamal A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33675,ARAB,403,Intermediate Stand Arabic I,A1,LCD,120085,"Chakrani, Brahim",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33883,ARAB,403,Intermediate Stand Arabic I,C1,LCD,120085,"Essien, Hannah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33676,ARAB,404,Intermediate Stand Arabic II,B1,LCD,120085,"Chakrani, Brahim",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33884,ARAB,404,Intermediate Stand Arabic II,C1,LCD,120085,"Essien, Hannah",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33704,ARAB,405,Advanced Standard Arabic I,A1,LCD,120085,"Albirini, Abdulkafi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33705,ARAB,406,Advanced Standard Arabic II,A1,LCD,120085,"Albirini, Abdulkafi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
