CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41713,LING,504,Practicum,A,LCD,120078,"Hock, Hans H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40588,LING,547,Formal Semantics II,A,LCD,120078,"Lasersohn, Peter N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30899,LING,551,Pragmatics,B,LCD,120078,"Terkourafi, Marina",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49009,LING,582,Topics in Phonological Theory,A1,LCD,120078,"Shosted, Ryan K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49102,LING,587,Topics in Sociolinguistics,R,LCD,120078,"Bhatt, Rakesh M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30813,LIR,522,Government Regulation,1,LCD,120078,"Leroy, Michael H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50414,LIR,522,Government Regulation,2,LCD,120078,"Leroy, Michael H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33162,LIR,542,Collective Bargaining,1,LCD,120078,"Olson, Craig A",2,12,4,2,18,1,1,0,0,0,0,0,0,0,3.41
33181,LIR,543,Workplace Dispute Resolution,1,LCD,120078,"Feuille, Peter",0,2,9,12,3,1,0,0,0,0,0,0,0,0,3.43
33191,LIR,545,Economics of Human Resources,1,LCD,120078,"Laschever, Ron A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30857,LIR,561,Compensation Systems,1,LCD,120078,"Martocchio, Joseph J",0,39,0,1,0,0,0,0,0,0,0,0,0,0,3.98
49722,LIR,563,HR Info Sys & Comput App in IR,1,LCD,120078,"Lawler, John J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33195,LIR,565,HR Management and Strategy,1,LCD,120078,"Ericksen, Gerald A",0,8,17,6,3,0,0,0,0,0,0,0,0,0,3.63
